AÑO	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026
2004	1	1,036635973	1,06325353	1,146433395	1,227747084	1,221731123	1,258072437	1,313934929	1,333456108	1,373603438	1,43679558	1,500012277	1,529834254	1,57572744	1,61669736	1,66519337	1,708483732	1,746924494	1,823793738	1,938686311	2,006531614	2,090816452	2,090816452
2005	0,964658787	1	1,02567686	1,105917048	1,184357013	1,178553663	1,213610631	1,267498875	1,286330151	1,325058626	1,386017481	1,447000024	1,475768056	1,520039321	1,559561314	1,606343416	1,648103844	1,685186062	1,759338655	1,870170784	1,935618353	2,016924462	2,016924462
2006	0,940509457	0,974965936	1	1,07823145	1,154707743	1,149049676	1,183229025	1,235768227	1,25412808	1,291887023	1,351319831	1,410775733	1,438823584	1,481986559	1,520519157	1,566130112	1,606845108	1,642999007	1,715295259	1,823352809	1,887161959	1,966432646	1,966432646
2007	0,872270473	0,904226951	0,92744466	1	1,07092753	1,065679985	1,09737944	1,146106643	1,163134391	1,198153721	1,253274361	1,308416419	1,334429249	1,37446052	1,410197372	1,452499009	1,490259914	0,93677	1,590841428	1,691058826	1,750238281	1,823757456	1,823757456
2008	0,8145	0,84434	0,86602	0,93377	1	0,9951	1,0247	1,0702	1,0861	1,1188	1,17027	1,22176	1,24605	1,28343	1,3168	1,3563	1,39156	1,42287	1,48548	1,57906	1,63432	1,70297	1,70297
2009	0,818510702	0,848497638	0,870284394	0,938368003	1,004924128	1	1,029745754	1,075469802	1,091448096	1,124309115	1,17603256	1,227776103	1,25218571	1,289749774	1,323284092	1,362978595	1,39841222	1,429876394	1,492794694	1,586835494	1,642367601	1,711355643	1,711355643
2010	0,79486679	0,823987509	0,84514492	0,911261833	0,975895384	0,971113497	1	1,04440324	1,059919977	1,091831756	1,142061091	1,192309944	1,216014443	1,252493413	1,285059042	1,323606909	1,358016981	1,388572265	1,449673075	1,540997365	1,594925344	1,661920562	1,661920562
2011	0,761072697	0,788955335	0,809213231	0,872519155	0,934404784	0,929826201	0,957484582	1	1,014857036	1,045412073	1,093505887	1,141618389	1,164315081	1,199243132	1,23042422	1,267333209	1,300280321	1,329536535	1,388039619	1,475481218	1,527116427	1,591263315	1,591263315
2012	0,749930946	0,777405395	0,797366725	0,85974588	0,920725532	0,916213977	0,943467452	0,985360464	1	1,030107725	1,077497468	1,124905626	1,147270049	1,181686769	1,21241138	1,248780039	1,281244821	1,310072737	1,367719363	1,453880858	1,504760151	1,567967959	1,567967959
2013	0,728012156	0,75468359	0,774061494	0,834617447	0,893814802	0,889435109	0,915892027	0,956560601	0,970772256	1	1,046004648	1,092027172	1,113737934	1,147148731	1,176975331	1,212281015	1,243796925	1,271782267	1,327744011	1,411387201	1,460779407	1,522139793	1,522139793
